mold_code,pred,shap_top_feature,upper_mold_temp1,upper_mold_temp2,lower_mold_temp1,lower_mold_temp2,cast_pressure,sleeve_temperature,low_section_speed,Coolant_temperature
8573,0,,129.0,163.0,242.0,106.0,331.0,477.0,110.0,32.0
8573,0,,129.0,163.0,241.0,105.0,331.0,476.0,110.0,33.0
8573,0,,128.0,162.0,241.0,106.0,332.0,477.0,110.0,33.0
8573,0,,88.0,134.0,202.0,87.0,331.0,449.0,110.0,34.0
8573,0,,111.0,147.0,219.0,95.0,331.0,464.0,110.0,34.0
8573,0,,122.0,152.0,228.0,100.0,332.0,473.0,110.0,34.0
8573,0,,126.0,155.0,233.0,102.0,331.0,477.0,110.0,34.0
8573,0,,127.0,158.0,237.0,104.0,331.0,480.0,110.0,34.0
8573,0,,129.0,160.0,239.0,105.0,331.0,479.0,110.0,34.0
8573,0,,129.0,160.0,240.0,105.0,331.0,477.0,110.0,34.0
8573,0,,129.0,162.0,241.0,106.0,331.0,476.0,110.0,34.0
8573,0,,129.0,162.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,129.0,162.0,241.0,106.0,332.0,477.0,110.0,34.0
8573,0,,133.0,166.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,130.0,163.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,129.0,161.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,129.0,162.0,242.0,106.0,332.0,477.0,110.0,34.0
8573,0,,129.0,162.0,242.0,106.0,331.0,478.0,110.0,34.0
8573,0,,129.0,163.0,242.0,106.0,331.0,478.0,110.0,34.0
8573,0,,130.0,163.0,242.0,107.0,330.0,478.0,110.0,34.0
8573,0,,131.0,164.0,243.0,107.0,331.0,477.0,110.0,34.0
8573,0,,132.0,166.0,243.0,107.0,332.0,476.0,110.0,34.0
8573,0,,132.0,166.0,243.0,107.0,331.0,477.0,110.0,34.0
8573,0,,132.0,166.0,243.0,107.0,331.0,477.0,110.0,33.0
8573,0,,132.0,166.0,243.0,107.0,331.0,478.0,110.0,33.0
8573,0,,132.0,167.0,243.0,107.0,331.0,477.0,110.0,33.0
8573,0,,132.0,166.0,242.0,106.0,331.0,476.0,110.0,33.0
8573,0,,132.0,167.0,242.0,106.0,330.0,478.0,110.0,33.0
8573,0,,132.0,167.0,242.0,107.0,330.0,476.0,110.0,33.0
8573,0,,133.0,167.0,243.0,107.0,330.0,475.0,110.0,34.0
8573,0,,133.0,168.0,242.0,107.0,331.0,477.0,110.0,34.0
8573,0,,132.0,168.0,242.0,106.0,331.0,478.0,110.0,34.0
8573,0,,133.0,168.0,242.0,107.0,331.0,477.0,110.0,34.0
8573,0,,132.0,167.0,241.0,107.0,331.0,477.0,110.0,34.0
8573,0,,132.0,167.0,241.0,107.0,330.0,478.0,110.0,34.0
8573,0,,132.0,168.0,242.0,107.0,331.0,477.0,110.0,34.0
8573,0,,133.0,168.0,243.0,107.0,330.0,476.0,110.0,34.0
8573,0,,133.0,168.0,242.0,107.0,330.0,478.0,110.0,34.0
8573,0,,133.0,168.0,243.0,107.0,331.0,478.0,110.0,34.0
8573,0,,134.0,169.0,243.0,107.0,331.0,478.0,110.0,34.0
8573,0,,133.0,169.0,243.0,107.0,331.0,478.0,110.0,34.0
8573,0,,134.0,169.0,243.0,107.0,331.0,478.0,110.0,34.0
8573,0,,133.0,168.0,242.0,107.0,332.0,477.0,110.0,34.0
8573,0,,98.0,143.0,210.0,91.0,331.0,455.0,110.0,34.0
8573,0,,117.0,154.0,224.0,98.0,331.0,465.0,110.0,34.0
8573,0,,126.0,159.0,232.0,102.0,331.0,471.0,110.0,34.0
8573,0,,129.0,161.0,236.0,104.0,331.0,476.0,110.0,34.0
8573,0,,130.0,164.0,238.0,105.0,331.0,478.0,110.0,34.0
8573,0,,130.0,164.0,239.0,105.0,332.0,477.0,110.0,33.0
8573,0,,130.0,165.0,240.0,106.0,331.0,475.0,110.0,33.0
8573,0,,130.0,166.0,240.0,105.0,331.0,477.0,110.0,32.0
8573,0,,129.0,166.0,241.0,105.0,331.0,479.0,110.0,33.0
8573,0,,130.0,166.0,240.0,105.0,331.0,477.0,110.0,33.0
8573,0,,130.0,166.0,240.0,105.0,331.0,476.0,110.0,33.0
8573,0,,130.0,167.0,241.0,105.0,331.0,476.0,110.0,33.0
8573,0,,131.0,167.0,241.0,106.0,331.0,478.0,110.0,33.0
8573,0,,131.0,167.0,241.0,106.0,330.0,478.0,110.0,33.0
8573,0,,130.0,166.0,241.0,106.0,332.0,477.0,110.0,34.0
8573,0,,130.0,166.0,242.0,106.0,331.0,476.0,110.0,34.0
8573,0,,130.0,166.0,241.0,106.0,330.0,478.0,110.0,34.0
8573,0,,130.0,166.0,241.0,106.0,331.0,479.0,110.0,33.0
8573,0,,132.0,167.0,242.0,106.0,332.0,479.0,110.0,34.0
8573,0,,131.0,167.0,242.0,106.0,331.0,478.0,110.0,33.0
